img_id,anno_image_quality
mcocr_private_145120ypcjr.jpg,0.73699343
mcocr_private_145120euvko.jpg,0.7641282
mcocr_private_145120aedhd.jpg,0.4856165
mcocr_private_145120rtovn.jpg,0.6362277
mcocr_private_145120ywkur.jpg,0.58536536
mcocr_private_145120bgmgl.jpg,0.6148771
mcocr_private_145120lqifx.jpg,0.8839065
mcocr_private_145120qoenw.jpg,0.6565148
mcocr_private_145120nwmjf.jpg,0.5846135
mcocr_private_145120cykek.jpg,0.73205805
mcocr_private_145120yirof.jpg,0.5918827
mcocr_private_145120ipczv.jpg,0.74930227
mcocr_private_145120kmaos.jpg,0.5715721
mcocr_private_145120dbokx.jpg,0.6929106
mcocr_private_145120ipajj.jpg,0.52181613
mcocr_private_145120xjrbo.jpg,0.53992695
mcocr_private_145120apnkj.jpg,0.72747606
mcocr_private_145120ihcbk.jpg,0.59833235
mcocr_private_145120mwmhc.jpg,0.7215218
mcocr_private_145120opuod.jpg,0.7214184
mcocr_private_145120bdbex.jpg,0.70823544
mcocr_private_145120czmqe.jpg,0.57095265
mcocr_private_145120xlqul.jpg,0.5196032
mcocr_private_145120caqdr.jpg,0.65055645
mcocr_private_145120zmrbk.jpg,0.6651394
mcocr_private_145120nbtnw.jpg,0.6726074
mcocr_private_145120qgzmk.jpg,0.57135093
mcocr_private_145120cksbv.jpg,0.5766086
mcocr_private_145120dwtci.jpg,0.5071861
mcocr_private_145120hncxt.jpg,0.5368171
mcocr_private_145120cbske.jpg,0.5360893
mcocr_private_145120twstz.jpg,0.57513577
mcocr_private_145120yaqdo.jpg,0.69447535
mcocr_private_145120jihqh.jpg,0.6383602
mcocr_private_145120rykrc.jpg,0.60417336
mcocr_private_145120pbtzc.jpg,0.64455795
mcocr_private_145120fhsok.jpg,0.62202644
mcocr_private_145120tdhhr.jpg,0.61808205
mcocr_private_145120qlhnj.jpg,0.6686135
mcocr_private_145120osdez.jpg,0.7375321
mcocr_private_145120rgoiu.jpg,0.7048722
mcocr_private_145120schnz.jpg,0.6414939
mcocr_private_145120ycjmc.jpg,0.63364154
mcocr_private_145120rwtpw.jpg,0.74862677
mcocr_private_145120irora.jpg,0.7718551
mcocr_private_145120cwwpk.jpg,0.6229053
mcocr_private_145120pjejw.jpg,0.6637094
mcocr_private_145120ljmmd.jpg,0.5538127
mcocr_private_145120pxmgi.jpg,0.62288594
mcocr_private_145120yvjhy.jpg,0.54852426
mcocr_private_145120dyknb.jpg,0.70448786
mcocr_private_145120vxrkb.jpg,0.6002069
mcocr_private_145120casxx.jpg,0.7519576
mcocr_private_145120dwgtk.jpg,0.54633325
mcocr_private_145120fuksi.jpg,0.7381859
mcocr_private_145120pfzbm.jpg,0.64355856
mcocr_private_145120zcmaj.jpg,0.7955425
mcocr_private_145120xjofx.jpg,0.6418058
mcocr_private_145120rtacs.jpg,0.71669084
mcocr_private_145120etnlw.jpg,0.72952724
mcocr_private_145120cgsjj.jpg,0.7382958
mcocr_private_145120vcrvo.jpg,0.6517719
mcocr_private_145120gcfei.jpg,0.5614436
mcocr_private_145120ndgdc.jpg,0.66166145
mcocr_private_145120mnfhj.jpg,0.5748368
mcocr_private_145120imnbf.jpg,0.753003
mcocr_private_145120xqamb.jpg,0.5974828
mcocr_private_145120jlnto.jpg,0.50209886
mcocr_private_145120kfxtr.jpg,0.7319093
mcocr_private_145120znpmt.jpg,0.564094
mcocr_private_145120rfgjj.jpg,0.7251283
mcocr_private_145120ixnws.jpg,0.73442173
mcocr_private_145120efpse.jpg,0.52835554
mcocr_private_145120azonx.jpg,0.6456716
mcocr_private_145120dimiw.jpg,0.54443526
mcocr_private_145120gpiwi.jpg,0.5848437
mcocr_private_145120ebzbl.jpg,0.70798564
mcocr_private_145120yzfoc.jpg,0.7021177
mcocr_private_145120elnjb.jpg,0.52616745
mcocr_private_145120xqxio.jpg,0.8077485
mcocr_private_145120hfwms.jpg,0.5791868
mcocr_private_145120sqevm.jpg,0.5743937
